restaurant_id,name,lat,lng,zone_id,zone_name
R-0530,ChickeGo,18.56624234340794,73.9110801747894,2,Kothrud
R-0531,Green Park Restaurant,18.550921925815334,73.80406269602474,1,Baner
R-0532,Swig-Bar and Eatery,18.539767095808706,73.8938546230707,2,Kothrud
R-0533,RED SHRIMP RESTRO,18.539319559737063,73.82958517172221,0,Hinjewadi
R-0534,Aniket canteen,18.5551647,73.8221927,1,Baner
R-0535,Sugran Swayapakghar,18.49178432979734,73.82474438907767,3,Viman Nagar
R-0536,Relax,18.48954479769601,73.85014796152107,0,Hinjewadi
R-0537,Wood Fire Grill,18.512144073496515,73.81471328288278,3,Viman Nagar
R-0538,Kalyan Bhel,18.48036225689694,73.86681795274589,4,Wakad
R-0539,Raj Garden,18.450025996090154,73.81014372566344,5,Kharadi
R-0540,Rangla Punjab,18.583325926574943,73.78226795641397,1,Baner
R-0541,Badhaai Sweets,18.449828257904308,73.87418577199708,4,Wakad
R-0542,Siddharth Restaurant,18.540170055145193,73.81607212455201,1,Baner
R-0543,Restaurant 543,18.472856060266757,73.9021763155108,4,Wakad
R-0544,Deccan Harvest,18.51419081672023,73.92739532348608,2,Kothrud
R-0545,Pandora Gastronomy,18.5472398,73.88985066666667,2,Kothrud
R-0546,Canteen,18.51890133921781,73.88418101276301,2,Kothrud
R-0547,signature,18.521602358812316,73.87174638578577,2,Kothrud
R-0548,Refectory canteen,18.55130156477622,73.82480806488186,1,Baner
R-0549,Shree Radha Krishna Pure Veg,18.452291624140653,73.79333628418867,5,Kharadi
R-0550,MH 14 Food Court,18.581685113240813,73.81726033137971,1,Baner
R-0551,Copa Cabana,18.588882297468608,73.78251454033938,1,Baner
R-0552,Farmaaish,18.55557751718292,73.79483564115891,1,Baner
R-0553,Atulya Pure Veg,18.45546689651674,73.79845860048277,5,Kharadi
R-0554,Hotel Majestic Restaurant & Bar,18.45626207132248,73.84360037724579,5,Kharadi
R-0555,The White House Restaurant,18.56535276317322,73.79908719478172,1,Baner
R-0556,New Day Cafe and Restaurant,18.50861375453699,73.87452984720998,0,Hinjewadi
R-0557,vedant hotel,18.449129660722015,73.83645507357794,5,Kharadi
R-0558,Gulmohar Bar & Curryhouse,18.559093833703884,73.79140499809746,1,Baner
R-0559,Reddy's Hotel,18.544242330086572,73.87768910123413,2,Kothrud
R-0560,Restaurant 560,18.549211242735108,73.90724885748861,2,Kothrud
R-0561,SOP1 example 3,18.557980400654785,73.78091274176914,1,Baner
